call_id,group,objection_idx,turn_id,time_s,type,agent_technique,response_turn_id,resolved
C040,ai,2,T021,245.615,no_money,ignores_repeats_script,T022,partial
C043,ai,1,T009,79.11,no_money,alternative_offer,T010,partial
C043,ai,2,T013,147.47,no_money,ignores_repeats_script,T014,partial
C044,human,1,T003,32.417,no_money,reschedule,T004,yes
C045,ai,1,T004,56.396,call_later,ignores_repeats_script,T005,no
C047,human,1,T004,24.857,other,alternative_offer,T005,yes
C047,human,2,T008,75.988,no_money,alternative_offer,T011,yes
C048,ai,1,T023,268.178,distrust_who_is_calling,clarification,T024,yes
C049,human,1,T021,219.618,no_money,alternative_offer,T022,no
C049,human,2,T025,330.115,no_money,consequences,T026,partial
C050,human,1,T006,88.789,no_money,alternative_offer,T007,no
C052,ai,1,T007,64.879,call_later,ignores_repeats_script,T008,partial
C052,ai,2,T015,189.197,no_money,reschedule,T018,yes
C053,ai,1,T006,56.751,doesnt_recognize_debt,empathy_validation,T007,no
C054,ai,1,T012,121.527,no_money,empathy_validation,T013,no
C054,ai,2,T018,242.808,no_money,empathy_validation,T019,no
C056,human,1,T003,18.563,other,clarification,T004,partial
C056,human,2,T013,133.144,wants_discount,clarification,T014,yes
C056,human,3,T035,506.503,no_money,alternative_offer,T036,yes
C057,human,1,T007,38.423,no_money,alternative_offer,T008,partial
C058,human,1,T009,80.282,no_money,reschedule,T018,partial
C060,human,1,T005,39.403,other,clarification,T006,yes
C065,ai,1,T006,79.414,no_money,clarification,T007,yes
C065,ai,2,T024,247.372,distrust_who_is_calling,ignores_repeats_script,T025,no
C066,human,1,T008,55.791,wants_discount,clarification,T008,yes
C067,ai,1,T004,79.751,no_money,alternative_offer,T005,no
C070,ai,1,T004,72.563,no_money,empathy_validation,T007,no
C070,ai,2,T026,419.783,wants_discount,ignores_repeats_script,T027,no
C070,ai,3,T030,469.784,call_later,reschedule,T031,yes
C071,human,1,T019,182.74,other,alternative_offer,T020,partial
C073,ai,1,T010,107.561,no_money,reschedule,T011,yes
C074,human,1,T005,22.663,other,clarification,T006,partial
C076,human,1,T006,46.414,other,ignores_repeats_script,T007,no
C077,ai,1,T016,97.554,other,empathy_validation,T017,yes
C077,ai,2,T032,267.941,no_money,ignores_repeats_script,T039,yes
C078,human,1,T013,68.654,other,clarification,T014,yes
C079,ai,1,T009,70.622,doesnt_recognize_debt,ignores_repeats_script,T010,no
C082,ai,1,T013,85.86,asks_for_human,ignores_repeats_script,T014,partial
C082,ai,2,T027,216.978,distrust_who_is_calling,clarification,T028,no
C083,human,1,T004,43.225,distrust_who_is_calling,clarification,T005,yes
C086,human,1,T003,13.146,no_money,reschedule,T010,yes
C088,human,1,T008,86.928,no_money,alternative_offer,T009,partial
C088,human,2,T014,137.063,no_money,alternative_offer,T015,yes
C091,human,1,T003,15.12,call_later,reschedule,T004,yes
C092,human,1,T002,31.71,no_money,reschedule,T003,yes
C095,ai,1,T001,0.0,no_money,alternative_offer,T001,no
C096,human,1,T002,64.305,annoyed_by_calls,empathy_validation,T005,partial
C096,human,2,T006,199.71,no_money,alternative_offer,T007,yes
C096,human,3,T014,411.508,distrust_who_is_calling,clarification,T015,yes
C096,human,4,T018,510.412,no_money,reschedule,T019,yes
C097,human,1,T007,109.097,other,clarification,T008,no
C098,human,1,T002,15.104,call_later,ignores_repeats_script,T003,yes
C098,human,2,T010,71.686,no_money,consequences,T011,yes
C099,ai,1,T008,137.66,no_money,alternative_offer,T009,yes
C100,ai,1,T005,87.396,no_money,empathy_validation,T006,no
C100,ai,2,T019,324.591,no_money,empathy_validation,T020,no
