call_id,group,duration_file_s,snr_db,clipping_pct,level_dbfs,speech_ratio,censored_s,n_censor_segments,asr_confidence,asr_low_conf_pct,n_speakers_detected,flags,contact_type,identity_validated,product,debt_amount,overdue_amount,non_payment_reasons,final_outcome,final_outcome_rank,ptp,ptp_type_commitment,ptp_amount,ptp_date,ptp_type,ptp_confirmed_by_client,agent_recapped,callback_scheduled,ptp_strength,had_negotiation,n_offers_agent,n_counteroffers_client,first_anchor,n_objections,n_objections_resolved,n_objections_partial,pct_objections_resolved,conv_duration_s,agent_speech_s,client_speech_s,agent_talk_share,silence_pct,n_turns,turns_per_min,mean_turn_s_agent,mean_turn_s_client,max_agent_monologue_s,n_monologues_30s,agent_latency_median_s,agent_latency_p90_s,client_latency_median_s,agent_spoke_first,time_to_first_agent_voice_s,dead_air_count,dead_air_s,interruptions_per_min_agent,interruptions_per_min_client,overlap_s,yield_time_s,backchannels_agent_per_min,words_per_min_agent,words_per_min_client,time_to_identification_s,time_to_debt_mention_s,time_to_first_offer_s,time_to_ptp_s,closing_by,last_turn_role,repeat_requests,repeat_requests_agent,repeat_requests_client,mechanical_repetition,agent_misunderstood,client_expresses_annoyance,greets,identifies_self,recording_notice,validates_identity_before_disclosing,states_amount,states_due_date,offers_payment_channels,mentions_credit_bureaus,recaps_agreement,polite_closing,script_checklist_score,debt_disclosed_to_third_party,clarity,empathy,active_listening,objection_handling,control_focus,professionalism,agent_pitch_range_st,client_pitch_range_st,agent_intensity_std_db,client_escalation,sentiment_start,sentiment_end,sentiment_delta,sentiment_min,agent_questions,politeness_markers,lexical_richness_mattr,fillers_per_min,agent_discourse_similarity,blindness_guess
C011,ai,461.22,9.73,0.0006,-17.05,0.6017,35.42,45,0.9492,1.49,3,agent_spoke_first;diar_corrected;low_snr;three_speakers,account_holder,true,unknown,380000.0,,not_stated,firm_promise,7,True,firm,190000.0,antes del 1 de agosto de 2026,full,false,true,False,2,True,3,0,agent,0,0,0,,456.721,163.601,69.31,0.7024,45.261,39,5.1235,11.861,6.922,50.456,1,2.481,3.64,1.668,True,,17,81.1,0.0,0.0,2.293,,1.051,198.04,172.27,13.083,28.333,65.593,202.078,agent,AGENT,0,0,0,True,1,False,true,true,true,true,true,true,false,false,true,true,80.0,na,4,3,2,,4,3,8.663,9.209,5.762,0.1305,0.1672,0.0251,-0.1421,-0.9168,15,2,0.7518,0.0,0.739,ai
C012,ai,239.38,11.66,0.0005,-18.46,0.4229,49.84,43,0.9049,5.0,2,agent_spoke_first;censor_heavy,account_holder,false,unknown,810000.0,,not_stated,firm_promise,7,True,firm,810000.0,a más tardar el 21 de julio,full,false,true,False,2,True,2,0,agent,0,0,0,,239.064,74.142,13.651,0.8445,60.818,9,2.2588,44.134,2.885,155.486,2,4.619,7.972,,True,,15,69.859,0.0,0.0,13.651,,0.0,161.85,0.0,,9.674,26.293,188.529,cut_unclear,AGENT,0,0,0,False,0,False,true,true,false,false,true,true,false,false,true,false,50.0,na,3,3,3,,4,3,9.707,,5.639,,,,,,3,1,0.7121,0.0,0.7245,ai
C013,human,395.24,11.57,0.0,-18.81,0.8482,36.98,44,0.891,5.9,3,agent_spoke_first;diar_corrected;hallucination_removed;three_speakers,account_holder,false,unknown,913000.0,,illness_calamity;other,callback_scheduled,4,False,na,,,,na,na,True,,True,1,0,agent,2,0,2,0.0,375.176,180.455,114.52,0.6118,15.553,33,5.2775,13.596,10.061,33.84,1,0.396,1.83,0.709,True,,1,3.107,0.1599,0.4798,12.721,1.755,0.9595,184.2,215.86,,21.741,21.741,,agent,CLIENT,0,0,0,False,0,True,false,true,false,false,true,false,false,true,na,true,44.44,na,2,3,3,3,3,4,6.013,9.736,5.833,-0.8372,-0.6217,0.3586,0.9803,-0.9319,4,0,0.7705,7.604,0.6919,human
C014,human,143.74,8.04,0.0,-22.01,0.7333,12.72,10,0.9065,4.39,3,agent_spoke_first;low_snr;three_speakers,account_holder,true,unknown,672584.0,,not_stated,firm_promise,7,True,firm,672584.0,viernes 21 de agosto,full,false,true,True,2,True,3,0,agent,1,1,0,100.0,126.528,82.438,10.892,0.8833,20.355,13,6.1646,14.914,3.518,32.874,2,0.903,1.743,0.303,True,,0,0.0,0.0,1.8968,2.688,0.852,0.4742,213.98,137.72,29.293,35.712,47.535,77.758,cut_unclear,AGENT,0,0,0,False,0,False,true,true,false,true,true,false,false,false,true,false,50.0,na,4,3,4,4,5,5,7.159,7.213,5.643,,-0.2304,-0.0951,0.1353,-0.4994,2,1,0.7682,1.456,0.7577,human
C015,human,118.26,10.19,0.0,-20.64,0.7703,3.35,5,0.9349,3.95,3,three_speakers,account_holder,false,unknown,,,not_stated,firm_promise,7,True,firm,102000.0,los 30 de cada mes,full,true,true,False,3,True,1,0,agent,0,0,0,,104.364,75.981,8.906,0.8951,17.051,8,4.5993,22.485,4.673,37.912,1,1.147,1.398,0.413,False,-0.044,0,0.0,0.0,0.5749,1.097,7.661,0.0,188.73,94.32,,0.302,0.302,77.499,agent,AGENT,0,0,0,False,0,False,true,false,false,false,true,true,false,false,true,true,50.0,na,4,3,4,,5,4,5.731,5.92,5.94,,-0.0147,-0.0147,0.0,-0.0438,3,6,0.7553,0.79,0.7435,human
C016,human,176.56,11.66,0.0001,-20.33,0.8525,12.89,13,0.9187,3.94,2,agent_spoke_first,account_holder,true,unknown,,,already_paid,claims_already_paid,5,False,na,,,,na,na,False,,False,0,0,none,1,1,0,100.0,163.494,44.6,92.24,0.3259,13.905,19,6.9727,5.878,12.417,13.416,0,0.794,0.908,0.464,True,,0,0.0,1.101,0.734,5.679,1.712,0.734,173.54,196.44,3.671,15.027,,,agent,AGENT,0,0,0,False,0,False,false,true,false,true,false,false,false,true,na,true,44.44,na,4,4,4,5,4,5,9.798,7.687,6.736,-0.5622,0.329,0.5077,0.1787,-0.5396,2,0,0.7945,0.0,0.7027,human
C017,human,129.88,7.13,0.0,-21.63,0.684,6.3,9,0.8889,6.83,3,low_snr;three_speakers,account_holder,false,unknown,,,other,vague_promise,6,True,vague,,"mañana, si no la otra semana",,false,true,False,1,True,1,1,client,1,0,1,0.0,111.305,45.879,30.413,0.6014,25.428,10,5.3906,10.891,11.454,25.684,0,0.0,1.17,1.662,False,-37.225,1,3.324,0.0,0.5391,2.661,3.172,2.6953,176.55,213.07,,9.28,51.095,51.095,agent,AGENT,1,1,0,False,0,False,false,false,false,false,true,false,false,false,true,true,30.0,na,3,3,3,3,3,4,6.212,6.104,6.218,0.5955,-0.115,-0.0971,0.0179,-0.3282,6,0,0.7893,3.923,0.7412,human
C018,ai,185.06,19.0,0.0015,-16.67,0.6164,12.76,15,0.9373,4.67,2,,account_holder,true,unknown,,,not_stated,firm_promise,7,True,firm,4310000.0,4 de agosto de 2026,full,true,false,False,3,True,2,0,agent,1,1,0,100.0,182.048,73.655,27.872,0.7255,43.574,22,7.2508,10.576,3.89,40.399,1,2.14,4.777,1.527,False,2.126,6,30.338,0.3296,1.6479,6.005,0.825,0.9888,193.88,133.47,9.619,13.461,48.462,128.166,cut_unclear,AGENT,0,0,0,False,1,True,true,true,false,true,true,true,false,false,false,false,50.0,na,3,3,2,3,4,3,8.481,12.518,5.527,-0.4978,0.1215,0.1708,0.0493,-0.0343,10,3,0.7949,0.0,0.7663,ai
C019,human,123.4,17.61,0.0015,-18.92,0.7307,12.15,12,0.9209,4.87,2,diar_corrected,account_holder,false,unknown,,1272500.0,other,callback_scheduled,4,False,na,,,,na,na,True,,True,1,0,agent,1,1,0,100.0,111.873,41.203,39.665,0.5095,23.509,14,7.5085,7.525,8.538,12.724,0,1.201,1.607,1.005,False,0.321,0,0.0,0.0,1.0726,4.069,6.252,0.5363,182.03,152.78,,15.053,88.007,,agent,AGENT,0,0,0,False,0,False,true,true,false,false,true,true,false,false,na,true,55.56,na,3,3,4,4,3,4,8.393,5.734,7.232,-0.438,-0.0382,0.0219,0.0601,-0.8606,2,1,0.6834,0.0,0.7432,human
C020,human,76.0,10.29,0.0,-22.73,0.8206,5.68,8,0.8722,7.22,2,,account_holder,true,unknown,,300000.0,illness_calamity,firm_promise,7,True,firm,300000.0,15 de julio,full,true,true,False,3,True,0,1,client,1,1,0,100.0,69.542,27.788,28.495,0.4937,14.541,9,7.7651,7.535,7.652,12.74,0,0.0,0.531,0.456,False,0.759,0,0.0,0.0,0.8628,1.707,0.76,1.7256,215.92,168.45,0.0,6.75,34.088,34.088,agent,CLIENT,0,0,0,False,0,False,true,true,false,true,true,true,false,false,true,true,70.0,na,4,3,4,4,5,5,5.109,7.268,5.292,-0.6895,-0.2242,0.3037,0.5279,-0.9206,4,0,0.768,2.058,0.7295,human
C021,ai,141.92,12.95,0.0001,-19.8,0.7218,11.54,16,0.9554,1.61,2,agent_spoke_first,account_holder,true,unknown,5360000.0,,other,no_agreement,3,False,na,,,,na,na,False,,True,2,0,agent,1,0,0,0.0,136.907,77.451,10.192,0.8837,30.387,9,3.9443,21.793,5.287,72.241,1,1.451,2.677,1.62,True,,1,5.184,0.0,0.4383,0.371,3.712,0.0,218.46,164.84,9.687,9.687,9.687,,cut_unclear,AGENT,0,0,0,False,1,False,true,true,false,true,true,false,false,false,na,false,44.44,na,4,3,2,2,2,3,8.33,6.376,4.805,0.4182,-0.191,-0.191,0.0,-0.4558,6,1,0.8028,0.0,0.7529,ai
C022,ai,114.26,26.61,0.0007,-17.48,0.6836,16.58,20,0.941,2.2,3,agent_spoke_first;three_speakers,wrong_number,false,unknown,,,not_stated,no_contact,0,False,na,,,,na,na,False,,False,0,0,none,0,0,0,,107.106,30.92,0.0,1.0,34.094,9,5.0417,10.98,,21.537,0,,,,True,,3,11.739,0.0,0.0,0.641,,1.6806,250.32,,,4.59,,,agent,AGENT,0,0,0,False,0,False,true,true,na,na,na,na,na,na,na,na,,true,4,4,3,,4,4,8.125,,5.701,,,,,,3,2,0.8248,0.0,0.6511,ai
C023,human,116.42,10.02,0.0,-16.7,0.6081,16.59,12,0.8701,7.37,3,three_speakers,account_holder,false,unknown,,,other,vague_promise,6,True,vague,,el 20 del otro mes,,false,false,False,1,True,0,1,client,1,1,0,100.0,99.912,28.951,30.248,0.489,31.16,9,5.4048,10.373,11.667,22.29,0,0.633,1.445,0.978,False,0.878,1,3.408,0.0,1.8016,1.84,1.131,1.2011,176.16,261.84,,18.676,46.503,46.503,agent,CLIENT,0,0,0,False,0,False,true,false,false,false,false,false,false,false,false,true,20.0,na,2,3,3,3,2,4,14.343,10.356,6.892,-0.1424,-0.3285,-0.1935,0.135,-0.6717,0,0,0.6717,6.185,0.7248,human
C024,ai,68.58,16.68,0.0002,-19.28,0.4567,9.18,11,0.9317,3.61,2,,account_holder,true,unknown,,,not_stated,no_agreement,3,False,na,,,,na,na,False,,False,0,0,none,1,1,0,100.0,65.579,0.0,0.0,,45.861,1,0.9149,,,,0,,,,False,,3,14.491,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,cut_unclear,UNKNOWN,0,0,0,False,0,False,true,true,false,true,false,false,false,false,na,false,33.33,na,3,3,3,4,2,4,,,,,,,,,0,0,,,,ai
C025,ai,156.08,14.67,0.0024,-17.34,0.5467,7.64,11,0.9569,2.07,2,diar_corrected,account_holder,false,unknown,14010000.0,,doesnt_recognize_debt_fraud,no_agreement,3,False,na,,,,na,na,False,,False,0,0,none,1,0,0,0.0,152.145,62.55,14.38,0.8131,48.912,8,3.1549,32.506,4.312,64.395,1,0.608,2.136,1.493,False,0.0,6,47.784,0.0,0.3944,3.105,1.856,0.3944,195.68,154.38,,2.582,,,cut_unclear,AGENT,0,0,0,False,0,False,true,true,false,false,true,true,false,false,na,false,44.44,na,3,3,3,2,2,3,8.596,5.597,5.79,,-0.3182,-0.3182,0.0,-0.8603,6,2,0.835,0.0,0.6568,ai
C026,ai,485.0,17.97,0.0,-20.62,0.7696,38.18,47,0.9389,2.81,2,diar_corrected;hallucination_removed,account_holder,true,unknown,4350000.0,,other,vague_promise,6,True,vague,400000.0,31 de julio de 2026,full,false,true,False,2,True,5,3,agent,3,1,2,33.33,482.827,183.306,130.762,0.5837,30.209,26,3.231,19.283,13.874,49.224,4,3.206,4.476,1.552,False,0.0,11,37.126,0.0,0.1243,3.746,1.231,0.9941,219.31,198.68,11.643,11.643,31.657,363.875,agent,AGENT,1,1,0,True,1,False,true,true,true,true,true,true,false,false,true,true,80.0,na,3,3,2,3,4,3,8.126,5.686,4.843,0.0413,0.2133,0.1003,-0.113,-0.7562,13,3,0.8178,0.0,0.738,ai
C027,human,160.76,7.14,0.0001,-20.67,0.6748,18.89,19,0.9021,2.96,3,agent_spoke_first;low_snr;three_speakers,account_holder,false,unknown,,,unemployment_income_loss,vague_promise,6,True,vague,60000.0,30 de agosto,full,true,true,False,3,True,1,1,agent,2,1,1,50.0,142.334,67.375,21.634,0.7569,28.141,16,6.7447,13.016,2.793,31.742,1,1.139,1.485,1.266,True,,1,4.615,0.0,0.0,0.303,,0.0,209.28,191.37,,21.104,75.07,98.29,agent,CLIENT,0,0,0,False,0,False,true,false,false,false,true,true,false,true,true,true,60.0,na,4,2,3,3,4,4,7.605,9.452,7.025,-0.0388,-0.1472,0.0614,0.2086,-0.9362,7,3,0.767,0.0,0.7475,human
C028,ai,94.36,7.54,0.0068,-15.26,0.7888,13.21,16,0.96,2.53,2,agent_spoke_first;low_snr,account_holder,true,unknown,10190000.0,,not_stated,no_agreement,3,False,na,,,,na,na,False,,True,2,0,agent,0,0,0,,90.214,58.676,0.0,1.0,24.604,4,2.6603,44.863,,73.491,1,,,,True,,0,0.0,0.0,0.0,3.762,,0.0,202.47,,0.0,0.0,0.0,,cut_unclear,UNKNOWN,0,0,0,False,0,False,true,true,false,true,true,false,false,false,na,false,44.44,na,4,3,3,,3,3,7.893,,5.968,,,,,,3,2,0.84,0.0,0.645,ai
C029,ai,454.06,20.61,0.0005,-18.61,0.8294,17.63,20,0.9502,2.29,2,diar_corrected,account_holder,true,unknown,2470000.0,,disputes_charge;other,callback_scheduled,4,False,na,,,,na,na,True,,True,2,2,agent,2,0,1,0.0,449.989,143.909,197.286,0.4218,22.387,29,3.8668,12.102,16.122,29.076,0,1.949,3.518,1.662,False,1.991,4,17.88,0.0,0.6667,5.627,1.046,0.5333,231.81,175.48,10.648,13.091,61.223,,agent,CLIENT,0,0,0,False,0,False,true,true,false,true,true,false,false,false,na,true,55.56,na,4,3,2,3,4,3,8.276,5.854,5.582,0.1726,0.1405,0.355,0.2145,-0.8834,5,1,0.7798,0.0,0.7678,ai
C030,ai,112.82,16.91,0.0038,-16.61,0.6197,18.05,23,0.8658,6.45,2,diar_corrected,account_holder,true,unknown,3460000.0,,not_stated,no_agreement,3,False,na,,,,na,na,False,,True,1,0,agent,1,0,1,0.0,106.33,43.843,13.557,0.7638,39.036,17,9.5928,6.638,4.208,14.681,0,1.172,2.749,1.368,False,1.104,2,8.078,0.0,0.5643,3.581,2.075,1.1286,190.22,70.81,10.294,16.757,36.771,,cut_unclear,CLIENT,1,1,0,False,0,False,true,true,false,true,true,false,false,false,na,false,44.44,na,2,2,2,2,2,3,8.973,12.721,5.845,,0.2147,0.2147,0.0,-0.2866,3,2,0.7854,0.0,0.7491,ai
C031,human,160.78,12.15,0.0002,-18.42,0.6804,16.84,15,0.8672,6.95,3,agent_spoke_first;three_speakers,account_holder,false,unknown,,,not_stated,firm_promise,7,True,firm,,al día de hoy,,false,true,False,1,True,0,0,none,1,1,0,100.0,144.045,68.786,23.99,0.7414,29.665,19,7.9142,10.645,2.946,16.588,0,0.641,1.117,2.012,True,,1,3.544,1.2496,0.0,3.306,,0.0,169.22,162.57,,11.88,,105.418,agent,AGENT,1,0,1,False,0,False,true,true,false,false,false,false,false,false,true,true,40.0,na,3,3,4,3,4,4,8.011,6.871,7.136,0.2689,-0.3102,-0.1623,0.1479,-0.9509,3,0,0.7327,0.852,0.7541,human
C032,ai,104.5,16.3,0.0006,-16.45,0.8438,6.0,7,0.9456,3.72,2,diar_corrected,wrong_number,false,credit_card,1620000.0,,not_stated,no_contact,0,False,na,,,,na,na,False,,False,0,0,none,0,0,0,,103.862,52.91,0.0,1.0,22.763,10,5.7769,12.061,,19.761,0,,,,False,,0,0.0,0.0,0.0,3.495,,2.3108,227.93,,,8.016,,,cut_unclear,AGENT,0,0,0,True,3,True,true,true,na,na,na,na,na,na,na,na,,true,2,2,1,,2,2,7.224,,5.761,,,,,,2,1,0.7188,0.0,0.6437,ai
C033,human,74.56,11.25,0.0,-21.09,0.7879,3.62,4,0.9315,3.47,3,three_speakers,account_holder,true,unknown,,281036.0,not_stated,no_agreement,3,False,na,,,,na,na,False,,True,0,0,none,1,1,0,100.0,63.365,47.768,9.115,0.8398,11.065,10,9.4689,10.397,4.539,21.718,0,1.367,1.731,1.86,False,-0.421,0,0.0,0.9469,0.9469,3.322,0.59,0.0,188.41,151.4,3.56,4.067,,,agent,AGENT,0,0,0,False,0,False,true,true,false,true,true,true,false,false,na,true,66.67,na,4,3,4,4,4,4,6.239,6.245,6.086,,-0.1364,-0.1364,0.0,-0.5892,2,1,0.8305,1.256,0.755,human
C034,ai,99.86,18.54,0.0051,-15.65,0.5127,4.6,4,0.9399,2.67,2,agent_spoke_first;diar_corrected;hallucination_removed,voicemail,na,unknown,,,not_stated,no_contact,0,False,na,,,,na,na,False,,False,0,0,none,0,0,0,,99.714,25.7,0.0,1.0,50.652,3,1.8052,22.568,,60.092,1,,,,True,,6,41.947,0.0,0.0,1.116,,1.2034,158.75,,,,,,agent,AGENT,0,0,0,False,0,False,true,false,na,na,na,na,na,na,na,na,,na,,,,,,3,7.569,,5.648,,,,,,3,1,0.7337,0.0,0.4488,ai
C035,ai,90.7,19.83,0.0001,-17.78,0.666,11.28,9,0.951,0.73,2,,third_party,false,unknown,,,not_stated,third_party,1,False,na,,,,na,na,False,,False,0,0,none,0,0,0,,87.615,25.264,0.0,1.0,37.216,12,8.2178,6.804,,13.618,0,,,,False,,3,11.72,0.0,0.0,1.519,,0.0,173.37,,,,,,agent,AGENT,0,0,0,True,1,True,true,false,na,na,na,na,na,na,na,na,,false,3,2,2,,3,3,7.653,,6.315,,,,,,1,3,0.7108,0.0,0.5596,ai
C036,ai,99.42,17.44,0.0059,-16.06,0.5595,4.95,5,0.9262,3.61,2,agent_spoke_first,voicemail,na,unknown,,,not_stated,no_contact,0,False,na,,,,na,na,False,,False,0,0,none,0,0,0,,99.225,17.499,0.0,1.0,47.454,5,3.0234,8.9,,16.116,0,,,,True,,6,40.18,0.0,0.0,1.316,,1.2094,68.58,,,,,,agent,AGENT,0,0,0,False,0,False,false,false,na,na,na,na,na,na,na,na,,na,,,,,,3,8.929,,5.924,,,,,,0,0,0.8,0.0,0.2989,ai
C037,ai,297.66,25.44,0.0008,-17.62,0.6921,26.27,26,0.9084,3.54,2,agent_spoke_first;diar_corrected,account_holder,false,unknown,14030000.0,,disputes_charge;other,holder_refuses,2,False,na,,,,na,na,False,,True,1,0,agent,2,0,1,0.0,293.866,86.225,91.501,0.4852,36.019,23,4.696,12.072,11.345,67.466,1,2.714,5.41,0.168,True,,6,32.719,0.2042,0.6125,5.351,0.692,1.0209,151.0,228.19,,1.974,172.412,,cut_unclear,AGENT,0,0,0,False,0,True,true,true,false,false,true,true,false,false,na,false,44.44,na,3,3,2,2,2,4,8.031,6.355,6.166,0.0454,-0.1145,-0.1452,-0.0307,-0.9066,4,2,0.8285,0.0,0.6573,ai
