call_id,group,offer_idx,turn_id,time_s,proposed_by,type,amount,date_text
C047,human,1,T007,49.866,agent,minimum_installment,632000,
C047,human,2,T012,122.783,client,minimum_installment,200000,
C047,human,3,T015,141.227,agent,minimum_installment,350000,
C047,human,4,T016,164.802,client,extra_time,,primeros días del mes
C048,ai,1,T010,75.145,agent,discount_forgiveness,980000,
C048,ai,2,T010,75.145,agent,full_payment,980000,antes del 31 de agosto
C048,ai,3,T010,75.145,agent,minimum_installment,490000,antes del 31 de agosto
C048,ai,4,T010,75.145,agent,minimum_installment,330000,antes del 31 de agosto
C049,human,1,T006,36.794,agent,full_payment,837000,
C049,human,2,T008,54.226,agent,minimum_installment,,
C049,human,3,T017,139.512,client,discount_forgiveness,650000,
C049,human,4,T020,174.528,agent,partial_payment,650000,el restante para el mes de agosto
C049,human,5,T022,228.325,agent,minimum_installment,418500,
C049,human,6,T024,272.302,agent,minimum_installment,280000,
C050,human,1,T005,10.084,agent,discount_forgiveness,,
C050,human,2,T005,10.084,agent,minimum_installment,1504000,
C050,human,3,T009,111.013,agent,refinancing_restructuring,251000,
C051,ai,1,T011,132.25,agent,discount_forgiveness,650000,a más tardar el 11 de junio de 2026
C052,ai,1,T014,156.612,agent,discount_forgiveness,970000,
C052,ai,2,T014,156.612,agent,minimum_installment,490000,
C052,ai,3,T018,214.879,agent,extra_time,,hasta el 5 de junio
C052,ai,4,T020,239.046,agent,minimum_installment,490000,30 de junio
C053,ai,1,T005,22.764,agent,discount_forgiveness,9290000,
C054,ai,1,T011,82.141,agent,discount_forgiveness,6590000,
C054,ai,2,T011,82.141,agent,minimum_installment,1320000,
C054,ai,3,T017,219.368,agent,refinancing_restructuring,,
C056,human,1,T018,201.386,agent,extra_time,,martes 18 de agosto
C056,human,2,T029,428.119,client,full_payment,700000,
C056,human,3,T031,472.585,client,minimum_installment,350000,una ahorita el 15 y la otra el 30
C056,human,4,T034,486.473,agent,full_payment,700000,
C057,human,1,T010,64.49,agent,discount_forgiveness,11000000,
C058,human,1,T008,56.91,agent,full_payment,,
C065,ai,1,T005,21.574,agent,discount_forgiveness,560000,
C066,human,1,T004,23.2,agent,minimum_installment,,
C067,ai,1,T005,83.717,agent,discount_forgiveness,,
C068,ai,1,T001,0,agent,discount_forgiveness,60000,
C068,ai,2,T001,0,agent,full_payment,60000,antes del 13 de agosto
C069,ai,1,T001,0,agent,discount_forgiveness,800000,
C069,ai,2,T001,0,agent,full_payment,400000,
C070,ai,1,T003,24.857,agent,discount_forgiveness,13900000,
C070,ai,2,T007,152.808,agent,full_payment,13900000,antes del 30 de junio
C070,ai,3,T009,221.148,agent,refinancing_restructuring,,
C070,ai,4,T018,360.883,client,minimum_installment,,
C070,ai,5,T027,433.924,agent,minimum_installment,500000,
C071,human,1,T014,88.932,agent,full_payment,943000,
C071,human,2,T028,537.537,agent,discount_forgiveness,404000,
C071,human,3,T030,578.459,agent,minimum_installment,270000,
C071,human,4,T035,676.142,client,minimum_installment,,dos meses
C071,human,5,T037,695.335,client,partial_payment,400000,el viernes
C071,human,6,T046,796.264,agent,discount_forgiveness,382000,
C071,human,7,T057,974.751,client,discount_forgiveness,1200000,
C071,human,8,T059,989.196,client,full_payment,1100000,15 de agosto
C073,ai,1,T005,11.951,agent,discount_forgiveness,830000,
C073,ai,2,T005,11.951,agent,minimum_installment,60000,
C073,ai,3,T010,107.561,client,extra_time,,el 5
C076,human,1,T005,24.645,agent,discount_forgiveness,15697000,
C076,human,2,T008,75.236,client,refinancing_restructuring,8000000,
C076,human,3,T017,137.859,agent,refinancing_restructuring,,
C077,ai,1,T021,188.889,agent,discount_forgiveness,830000,
C077,ai,2,T025,223.34,agent,full_payment,830000,
C077,ai,3,T025,223.34,agent,minimum_installment,420000,
C077,ai,4,T026,237.819,client,minimum_installment,,
C077,ai,5,T038,332.403,client,extra_time,,el viernes
C078,human,1,T013,68.654,client,extra_time,,mañana a las horas de la mañana
C080,human,1,T001,0,agent,full_payment,1400000,el día de hoy
C080,human,2,T005,44.648,agent,discount_forgiveness,480000,a más tardar el día de mañana
C082,ai,1,T020,170.538,agent,discount_forgiveness,1540000,
C082,ai,2,T020,170.538,agent,minimum_installment,770000,
C085,ai,1,T001,0,agent,discount_forgiveness,1550000,
C085,ai,2,T001,0,agent,minimum_installment,780000,
C086,human,1,T009,79.903,client,extra_time,,el sábado
C087,ai,1,T001,0,agent,discount_forgiveness,540000,
C087,ai,2,T001,0,agent,full_payment,540000,21 de agosto de 2026
C088,human,1,T005,17.015,agent,discount_forgiveness,1050000,
C088,human,2,T007,59.945,agent,minimum_installment,410000,
C088,human,3,T010,107.33,client,minimum_installment,,
C088,human,4,T012,121.927,client,minimum_installment,100000,
C088,human,5,T013,131.951,agent,minimum_installment,200000,
C089,ai,1,T007,36.163,agent,discount_forgiveness,740000,
C089,ai,2,T011,106.785,agent,full_payment,740000,
C090,human,1,T003,21.646,agent,discount_forgiveness,680000,
C090,human,2,T011,132.549,agent,full_payment,680000,15 de julio
C092,human,1,T003,72.615,agent,extra_time,,10 de julio
C093,human,1,T003,20.099,agent,minimum_installment,,
C093,human,2,T007,47.538,agent,minimum_installment,285627,el 15
C093,human,3,T008,57.325,client,extra_time,,el 30
C094,human,1,T006,17.803,agent,discount_forgiveness,1278000,
C094,human,2,T006,17.803,agent,minimum_installment,640000,julio y agosto
C094,human,3,T011,95.023,client,extra_time,,el 17 y el 15 de agosto
C095,ai,1,T001,0,agent,discount_forgiveness,4820000,
C095,ai,2,T001,0,agent,minimum_installment,1610000,
C096,human,1,T005,99.489,agent,discount_forgiveness,1000000,
C096,human,2,T005,99.489,agent,discount_forgiveness,24000000,
C096,human,3,T010,286.4,client,minimum_installment,400000,
C096,human,4,T013,345.375,agent,minimum_installment,320000,
C096,human,5,T018,510.412,client,extra_time,,para el 20
C097,human,1,T006,48.718,agent,discount_forgiveness,1570000,
C098,human,1,T013,88.831,agent,extra_time,,15 de agosto
C099,ai,1,T007,100.45,agent,discount_forgiveness,72560000,
C099,ai,2,T007,100.45,agent,minimum_installment,4840000,
C099,ai,3,T013,208.147,agent,refinancing_restructuring,,
C099,ai,4,T014,240.445,client,minimum_installment,2500000,
C100,ai,1,T004,62.134,agent,discount_forgiveness,11650000,
C100,ai,2,T014,249.936,agent,full_payment,11650000,antes del 26 de julio
C100,ai,3,T016,265.664,agent,refinancing_restructuring,,
C100,ai,4,T017,299.616,client,minimum_installment,50000,
